lat,lon,alt,elapsed time,time,trajectory,label,user,segment,distance,speed,time_diff,acceleration,bearing,heading_change,Vrate,angular_velocity,angular_acceleration
39.94812,116.3033783,0.0,39535.3671180556,2008-03-28 08:48:39,20080328075913.plt,bus,104,1,0.01167386354562961,0.0019456439242716017,6.0,-3.392016923100952e-05,162.27179868096493,12.694739404555662,0.1046034234975704,2.115789900759277,1.7430893114062875
39.9481099,116.3034183,0.0,39535.3671527778,2008-03-28 08:48:42,20080328075913.plt,bus,104,1,0.0035899867238543184,0.0011966622412847728,3.0,-0.00024966056099560963,108.23007165306598,54.04172702789896,0.6258923003893726,-18.013909009299653,-6.70989963668631
39.9479966,116.3034099,0.0,39535.3672222222,2008-03-28 08:48:48,20080328075913.plt,bus,104,1,0.012618718187018685,0.0021031196978364476,6.0,0.00015107624275861246,183.25304012265903,75.02296846959305,0.43100611795143146,12.503828078265508,5.086289514594193
39.9479516,116.3033766,0.0,39535.3672800926,2008-03-28 08:48:53,20080328075913.plt,bus,104,1,0.005752889379712617,0.0011505778759425234,5.0,-0.00019050836437878484,209.56645072490727,26.31341060224824,0.8278812254351985,5.262682120449648,-1.448229191563172
39.9479016,116.303405,0.0,39535.367337963,2008-03-28 08:48:58,20080328075913.plt,bus,104,1,0.006063979033462546,0.0012127958066925093,5.0,1.2443586149997162e-05,156.46951981986774,53.09693090503953,0.05130124164896661,-10.619386181007906,-3.176413660291511
39.9477666,116.3034649,0.0,39535.3673958333,2008-03-28 08:49:03,20080328075913.plt,bus,104,1,0.015856001705075423,0.0031712003410150845,5.0,0.00039168090686451506,161.21392120577423,4.744401385906485,0.6175593856349361,0.9488802771812971,2.3136532916378405
39.9473933,116.3036966,0.0,39535.3675231481,2008-03-28 08:49:14,20080328075913.plt,bus,104,1,0.04596869264272797,0.004178972058429815,11.0,9.161561067406642e-05,154.55325075399446,6.660670451779765,0.24115301641748366,-0.6055154956163423,-0.1413087066179672
39.9470449,116.3038499,0.0,39535.3675925926,2008-03-28 08:49:20,20080328075913.plt,bus,104,1,0.04088508550249787,0.0068141809170829785,6.0,0.00043920147644219387,161.3592208506509,6.805970096656438,0.38672422859316247,1.1343283494427396,0.28997397417651366
39.9464766,116.3037616,0.0,39535.3676273148,2008-03-28 08:49:23,20080328075913.plt,bus,104,1,0.06363881269760237,0.021212937565867455,3.0,0.004799585549594826,186.79294679965184,25.433725949000944,0.6787724050040437,8.47790864966698,2.447860100074747
39.9461283,116.3037633,0.0,39535.367662037,2008-03-28 08:49:26,20080328075913.plt,bus,104,1,0.03872946408712337,0.012909821362374457,3.0,-0.0027677054011643327,179.78560614792377,7.007340651728072,0.6431627495398461,-2.3357802172426907,-3.6045629556365575
39.9453066,116.3037166,0.0,39535.3677546296,2008-03-28 08:49:34,20080328075913.plt,bus,104,1,0.09145556087232123,0.011431945109040154,8.0,-0.00018473453166678784,182.49489984043433,2.709293692510556,0.12927601027104543,0.3386617115638195,0.3343052411008138
39.9448866,116.3036483,0.0,39535.3677893518,2008-03-28 08:49:37,20080328075913.plt,bus,104,1,0.0470634246211109,0.015687808207036965,3.0,0.0014186210326656036,187.1066196988516,4.611719858417274,0.27128474811973985,1.537239952805758,0.3995260804139795
39.9445733,116.3036266,0.0,39535.3678240741,2008-03-28 08:49:40,20080328075913.plt,bus,104,1,0.034886452097276616,0.011628817365758872,3.0,-0.0013529969470926974,183.03962788798327,4.0669918108683305,0.3490458843415855,-1.35566393695611,-0.9643012965872894
39.9442816,116.3036199,0.0,39535.3678587963,2008-03-28 08:49:43,20080328075913.plt,bus,104,1,0.032440588720481306,0.010813529573493769,3.0,-0.0002717625974217013,181.00884424564376,2.0307836423395145,0.07539515999138204,-0.6769278807798381,0.22624535205875732
39.944,116.3036299,0.0,39535.3678935185,2008-03-28 08:49:46,20080328075913.plt,bus,104,1,0.03132409405805331,0.01044136468601777,3.0,-0.00012405496249199947,178.44047442832175,2.568369817322008,0.035643318538080705,-0.8561232724406693,-0.05973179722027707
39.9435133,116.303705,0.0,39535.3679513889,2008-03-28 08:49:51,20080328075913.plt,bus,104,1,0.05449595574384772,0.010899191148769544,5.0,9.156529255035483e-05,173.25316212620623,5.187312302115515,0.04200554486132304,-1.037462460423103,-0.03626783759648675
39.9431349,116.3037099,0.0,39535.3679861111,2008-03-28 08:49:54,20080328075913.plt,bus,104,1,0.04207823378775217,0.014026077929250723,3.0,0.0010422955934937261,179.43118819892788,6.17802607272165,0.22293379491070728,2.05934202424055,1.032268161554551
39.9428366,116.3037633,0.0,39535.3680208333,2008-03-28 08:49:57,20080328075913.plt,bus,104,1,0.03348039320966213,0.011160131069887377,3.0,-0.0009553156197877818,172.18510935031873,7.246078848609159,0.2568022580932168,-2.415359616203053,-1.4915672134812012
39.9425483,116.3038383,0.0,39535.3680555556,2008-03-28 08:50:00,20080328075913.plt,bus,104,1,0.03268890956071884,0.01089630318690628,3.0,-8.794262766036581e-05,168.72033039861913,3.4647789516996,0.02421260481244047,-1.1549263172332,0.420144432989951
39.94226,116.3038766,0.0,39535.3680902778,2008-03-28 08:50:03,20080328075913.plt,bus,104,1,0.03222335126709713,0.010741117089032378,3.0,-5.172869929130052e-05,174.1842930902326,5.46396269161346,0.01444785459348173,1.8213208972044868,0.9920824048125624
