lat,lon,alt,elapsed time,time,trajectory,label,user,segment,distance,speed,time_diff,acceleration,bearing,heading_change,Vrate,angular_velocity,angular_acceleration,index,new_segment,predicted_label
39.97453,116.399758,489.0,39816.0569560185,2009-01-03 01:22:01,20090103012134.plt,0,135,1.0.0,0.0048697655667267045,-0.8087463058685096,5.0,-0.0018358549875200879,27.06188475700702,9.554462336194149,0.061214984849072306,-1.9108924672388299,0.1801876123585612,7,1,4
39.974577,116.399745,490.0,39816.0569907407,2009-01-03 01:22:04,20090103012134.plt,0,135,1.0.0,0.005342273641511744,-0.7283725463285687,3.0,0.10825009525559164,348.0325150869377,320.97063032993066,0.453068199776977,106.99021010997689,0.5970546826444103,8,1,4
39.974623,116.399731,491.0,39816.057025463,2009-01-03 01:22:07,20090103012134.plt,0,135,1.0.0,0.005252242759049754,-0.7313621669458973,3.0,-0.011228119896014011,346.8715611279503,1.1609539589873634,0.017141416837000538,-0.3869846529957878,-0.588661153513172,9,1,4
39.974666,116.399713,491.0,39816.0570601852,2009-01-03 01:22:10,20090103012134.plt,0,135,1.0.0,0.005021374026124919,-0.73902853547383,3.0,-0.017930937032493252,342.2143461418346,4.657214986115719,0.045977202997363666,-1.5524049953719061,-0.006369798043467209,10,1,4
39.9747,116.399755,491.0,39816.0570949074,2009-01-03 01:22:13,20090103012134.plt,0,135,1.0.0,0.005205924215525382,-0.7329002488673263,3.0,0.0018398636594295918,43.42985484361992,298.7844912982147,0.03545003379997111,-99.59483043273822,-0.5374845724490082,11,1,4
39.974732,116.399838,491.0,39816.0571412037,2009-01-03 01:22:17,20090103012134.plt,0,135,1.0.0,0.007917223055840297,-0.7085932385063418,4.0,0.019184672756555575,63.29285334374805,19.86299850012813,0.1232743806242975,4.965749625032032,0.42994864086372353,12,1,4
39.97473,116.399909,491.0,39816.0571527778,2009-01-03 01:22:18,20090103012134.plt,0,135,1.0.0,0.006054121618840652,-0.30266074650689906,1.0,1.7384305804659648,92.10513267435942,28.812279330611375,0.6730647501694712,28.812279330611375,0.3922253552559922,13,1,4
39.974728,116.399982,491.0,39816.0571643518,2009-01-03 01:22:19,20090103012134.plt,0,135,1.0.0,0.006224433466654752,-0.2856943079579273,1.0,0.06600667923429752,92.04750626825603,0.05762640610339531,0.02736182316454764,-0.05762640610339531,-0.4748063316735882,14,1,4
39.974731,116.400052,491.0,39816.0571875,2009-01-03 01:22:21,20090103012134.plt,0,135,1.0.0,0.005974144648007771,-0.6081996978798834,2.0,-0.700275971641792,86.79902622753514,5.248480040720892,1.0837906791327678,-2.624240020360446,-0.021087198240312233,15,1,4
39.97473,116.400143,491.0,39816.0571990741,2009-01-03 01:22:22,20090103012134.plt,0,135,1.0.0,0.007755068312340447,-0.13321271384952635,1.0,2.035341794016425,90.82152617619761,4.022499948662471,0.6148232093261342,4.022499948662471,0.10933895398470728,16,1,4
39.974737,116.400205,491.0,39816.0572222222,2009-01-03 01:22:24,20090103012134.plt,0,135,1.0.0,0.00534016000524184,-0.6397784213231902,2.0,-1.0959748656854642,81.61887544372064,9.202650732476968,1.90443294010972,-4.601325366238484,-0.07089893565043871,17,1,4
