lat,lon,alt,elapsed time,time,trajectory,label,user,segment,distance,speed,time_diff,acceleration,bearing,heading_change,Vrate,angular_velocity,angular_acceleration
39.94812,116.3033783,0.0,39535.3671180556,2008-03-28 08:48:39,20080328075913.plt,bus,104,1,0.01167386354562961,0.0019456439242716017,6.0,-3.392016923100952e-05,162.27179868096493,12.694739404555662,0.1046034234975704,2.115789900759277,1.7430893114062875
39.9481099,116.3034183,0.0,39535.3671527778,2008-03-28 08:48:42,20080328075913.plt,bus,104,1,0.0035899867238543184,0.0011966622412847728,3.0,-0.00024966056099560963,108.23007165306598,54.04172702789896,0.6258923003893726,-18.013909009299653,-6.70989963668631
39.9479966,116.3034099,0.0,39535.3672222222,2008-03-28 08:48:48,20080328075913.plt,bus,104,1,0.012618718187018685,0.0021031196978364476,6.0,0.00015107624275861246,183.25304012265903,75.02296846959305,0.43100611795143146,12.503828078265508,5.086289514594193
39.9479516,116.3033766,0.0,39535.3672800926,2008-03-28 08:48:53,20080328075913.plt,bus,104,1,0.005752889379712617,0.0011505778759425234,5.0,-0.00019050836437878484,209.56645072490727,26.31341060224824,0.8278812254351985,5.262682120449648,-1.448229191563172
39.9479016,116.303405,0.0,39535.367337963,2008-03-28 08:48:58,20080328075913.plt,bus,104,1,0.006063979033462546,0.0012127958066925093,5.0,1.2443586149997162e-05,156.46951981986774,53.09693090503953,0.05130124164896661,-10.619386181007906,-3.176413660291511
39.9477666,116.3034649,0.0,39535.3673958333,2008-03-28 08:49:03,20080328075913.plt,bus,104,1,0.015856001705075423,0.0031712003410150845,5.0,0.00039168090686451506,161.21392120577423,4.744401385906485,0.6175593856349361,0.9488802771812971,2.3136532916378405
39.9473933,116.3036966,0.0,39535.3675231481,2008-03-28 08:49:14,20080328075913.plt,bus,104,1,0.04596869264272797,0.004178972058429815,11.0,9.161561067406642e-05,154.55325075399446,6.660670451779765,0.24115301641748366,-0.6055154956163423,-0.1413087066179672
39.9470449,116.3038499,0.0,39535.3675925926,2008-03-28 08:49:20,20080328075913.plt,bus,104,1,0.04088508550249787,0.0068141809170829785,6.0,0.00043920147644219387,161.3592208506509,6.805970096656438,0.38672422859316247,1.1343283494427396,0.28997397417651366
39.9464766,116.3037616,0.0,39535.3676273148,2008-03-28 08:49:23,20080328075913.plt,bus,104,1,0.06363881269760237,0.021212937565867455,3.0,0.004799585549594826,186.79294679965184,25.433725949000944,0.6787724050040437,8.47790864966698,2.447860100074747
39.9461283,116.3037633,0.0,39535.367662037,2008-03-28 08:49:26,20080328075913.plt,bus,104,1,0.03872946408712337,0.012909821362374457,3.0,-0.0027677054011643327,179.78560614792377,7.007340651728072,0.6431627495398461,-2.3357802172426907,-3.6045629556365575
