label,segment,trajectory,start_time,trajectory_length,total_distance,average_speed,max_speed,duration,average_acceleration,speed_std,acceleration_std,bearing_changes,HCR,stops,SR,VC,VCR
bike,30,20070412101853.plt,10,3,0.07687121644751226,0.0002347851795661762,0.0005107708809871178,0.03,5.259934451829363e-06,0.000257880043746192,1.2608376152412746e-05,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666
bike,6110,20070412102116.plt,10,54,2.7753665684345115,0.002706204835494211,0.009507961721420464,4.593333333333334,0.00012592050994307782,0.0017663391517787229,0.0007007957330018141,23,0.42592592592592593,7,0.12962962962962962,26,0.48148148148148145
walk,17,20070412102325.plt,10,3,5.58677883108321,0.00024243356678123502,0.0005107708809871178,0.02722222222222222,4.760761525282626e-06,0.00025807677587032707,5.760039304643884e-06,0,0.0,2,0.6666666666666666,2,0.6666666666666666
bike,3532,20070412134621.plt,13,27,2.8133784367837467,0.0035048940197472686,0.004521939931859278,0.8136111111111111,5.950208469204661e-06,0.0013072273894407674,2.6212638371112772e-05,8,0.2962962962962963,3,0.1111111111111111,3,0.1111111111111111
bike,6241,20070413005306.plt,0,122,13.800739142038827,0.007083616909002751,0.13897669051074596,6.413888888888889,0.0003507693549209044,0.012739060285781024,0.006623506001250372,49,0.4016393442622951,3,0.02459016393442623,64,0.5245901639344263
walk,24,20070413105648.plt,14,28,14.034991860626127,0.005380599029947386,0.01712450410342868,0.35138888888888886,6.111747016241171e-05,0.005291481573902466,0.0002928167916839022,19,0.6785714285714286,2,0.07142857142857142,20,0.7142857142857143
car,26,20070413150314.plt,15,7,0.7922116776069668,0.004043970300591609,0.013854956086672324,0.042777777777777776,1.795988117436103e-05,0.005479434327691714,0.00023488356447562666,7,1.0,0,0.0,6,0.8571428571428571
car,3622,20070413152330.plt,15,29,21.172066432497367,0.00832857865163879,0.01706795244540766,0.3125,-8.487553047340224e-05,0.004952266129099531,0.00042568270065268293,18,0.6206896551724138,1,0.034482758620689655,15,0.5172413793103449
walk,4783,20070414005628.plt,0,336,26.48827214448542,0.0031945382271683074,0.08708372346520205,2.870277777777778,0.0003128788082561259,0.008052983849816151,0.0030948105107648604,103,0.30654761904761907,12,0.03571428571428571,155,0.46130952380952384
walk,18,20070414022829.plt,2,24,6.716738870550752,0.0012103336646914558,0.003635485666442201,0.5352777777777777,5.969812467203358e-07,0.0006695506914144914,4.5464113471452656e-05,17,0.7083333333333334,1,0.041666666666666664,14,0.5833333333333334
